framework,control_id,control_ref,control_family,rule_id,name,domain,severity,evidence_mode,evidence_type,path
CIS AWS Foundations Benchmark v2.0,2.3.2,CIS AWS Foundations Benchmark v2.0 2.3.2,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-redshift-no-encryption,AWS Redshift Not Encrypted,dspm,high,cel,data_security_posture,policies/dspm/aws-redshift-encryption.yaml
CIS AWS Foundations Benchmark v2.0,2.3.3,CIS AWS Foundations Benchmark v2.0 2.3.3,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-rds-no-public-access,RDS No Public Access,aws,critical,cel,cloud_configuration,policies/aws/aws-rds-public-access.yaml
CIS AWS Foundations Benchmark v2.0,2.6,CIS AWS Foundations Benchmark v2.0 2.6,CIS AWS Foundations Benchmark v2.0 2 Storage,aws-apigateway-public,API Gateway Publicly Accessible,aws,medium,cel,cloud_configuration,policies/aws/aws-apigateway-public.yaml
CIS AWS Foundations Benchmark v2.0,3.1,CIS AWS Foundations Benchmark v2.0 3.1,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-cloudtrail-enabled,CloudTrail Enabled,aws,critical,cel,cloud_configuration,policies/aws/aws-cloudtrail-enabled.yaml
CIS AWS Foundations Benchmark v2.0,3.10,CIS AWS Foundations Benchmark v2.0 3.10,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-cloudtrail-s3-data-events,CloudTrail S3 Data Events Logging,aws,medium,cel,cloud_configuration,policies/aws/aws-cloudtrail-s3-data-events.yaml
CIS AWS Foundations Benchmark v2.0,3.11,CIS AWS Foundations Benchmark v2.0 3.11,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-cloudtrail-s3-data-events,CloudTrail S3 Data Events Logging,aws,medium,cel,cloud_configuration,policies/aws/aws-cloudtrail-s3-data-events.yaml
CIS AWS Foundations Benchmark v2.0,3.2,CIS AWS Foundations Benchmark v2.0 3.2,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-cloudtrail-log-integrity,CloudTrail Log File Integrity Validation,aws,medium,cel,cloud_configuration,policies/aws/aws-cloudtrail-log-integrity.yaml
CIS AWS Foundations Benchmark v2.0,3.5,CIS AWS Foundations Benchmark v2.0 3.5,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-config-enabled-all-regions,AWS Config Enabled All Regions,aws,medium,cel,cloud_configuration,policies/aws/aws-config-enabled.yaml
CIS AWS Foundations Benchmark v2.0,3.6,CIS AWS Foundations Benchmark v2.0 3.6,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-s3-bucket-logging-enabled,S3 Bucket Logging Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-s3-bucket-logging.yaml
CIS AWS Foundations Benchmark v2.0,3.7,CIS AWS Foundations Benchmark v2.0 3.7,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-cloudtrail-kms-encryption,CloudTrail KMS Encryption Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-cloudtrail-kms-encryption.yaml
CIS AWS Foundations Benchmark v2.0,3.8,CIS AWS Foundations Benchmark v2.0 3.8,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-kms-key-rotation-enabled,KMS Key Rotation Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-kms-key-rotation.yaml
CIS AWS Foundations Benchmark v2.0,3.9,CIS AWS Foundations Benchmark v2.0 3.9,CIS AWS Foundations Benchmark v2.0 3 Logging,aws-vpc-flow-logs-enabled,VPC Flow Logs Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-vpc-flow-logs.yaml
CIS AWS Foundations Benchmark v2.0,4.1,CIS AWS Foundations Benchmark v2.0 4.1,CIS AWS Foundations Benchmark v2.0 4 Monitoring,aws-cloudwatch-alarm-missing,CloudTrail Without CloudWatch Alarm,aws,medium,cel,cloud_configuration,policies/aws/aws-cloudwatch-alarm-missing.yaml
CIS AWS Foundations Benchmark v2.0,4.15,CIS AWS Foundations Benchmark v2.0 4.15,CIS AWS Foundations Benchmark v2.0 4 Monitoring,aws-guardduty-disabled,GuardDuty Not Enabled,aws,high,cel,cloud_configuration,policies/aws/aws-guardduty-disabled.yaml
CIS AWS Foundations Benchmark v2.0,4.16,CIS AWS Foundations Benchmark v2.0 4.16,CIS AWS Foundations Benchmark v2.0 4 Monitoring,aws-security-hub-enabled,AWS Security Hub Enabled,aws,medium,cel,cloud_configuration,policies/aws/aws-security-hub-enabled.yaml
CIS AWS Foundations Benchmark v2.0,5.1,CIS AWS Foundations Benchmark v2.0 5.1,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-nacl-admin-ports-restricted,Network ACLs Restrict Admin Port Access,aws,high,cel,cloud_configuration,policies/aws/aws-nacl-admin-ports.yaml
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-ec2-public-ip-ssh,EC2 Public IP with SSH Exposed,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-public-ip-ssh.yaml
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-ec2-public-ports-restricted,EC2 Instance Public Ports Restricted,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-public-ports-restricted.yaml
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-ecs-ssh-denied,ECS Services Deny Public SSH Access,aws,critical,cel,cloud_configuration,policies/aws/aws-ecs-ssh-denied.yaml
CIS AWS Foundations Benchmark v2.0,5.2,CIS AWS Foundations Benchmark v2.0 5.2,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-security-group-restrict-ssh,Security Group SSH Restriction,aws,high,cel,cloud_configuration,policies/aws/aws-security-group-ssh.yaml
CIS AWS Foundations Benchmark v2.0,5.3,CIS AWS Foundations Benchmark v2.0 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-ec2-public-ip-rdp,EC2 Public IP with RDP Exposed,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-public-ip-rdp.yaml
CIS AWS Foundations Benchmark v2.0,5.3,CIS AWS Foundations Benchmark v2.0 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-ec2-public-ports-restricted,EC2 Instance Public Ports Restricted,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-public-ports-restricted.yaml
CIS AWS Foundations Benchmark v2.0,5.3,CIS AWS Foundations Benchmark v2.0 5.3,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-security-group-restrict-rdp,Security Group RDP Restriction,aws,high,cel,cloud_configuration,policies/aws/aws-security-group-rdp.yaml
CIS AWS Foundations Benchmark v2.0,5.4,CIS AWS Foundations Benchmark v2.0 5.4,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-default-sg-no-rules,Default Security Group Restricts All Traffic,aws,medium,cel,cloud_configuration,policies/aws/aws-default-sg-no-rules.yaml
CIS AWS Foundations Benchmark v2.0,5.4,CIS AWS Foundations Benchmark v2.0 5.4,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-ec2-sg-no-all-traffic-ingress,Security Group No All Traffic Ingress,aws,critical,cel,cloud_configuration,policies/aws/aws-ec2-sg-all-traffic.yaml
CIS AWS Foundations Benchmark v2.0,5.6,CIS AWS Foundations Benchmark v2.0 5.6,CIS AWS Foundations Benchmark v2.0 5 Networking,aws-ec2-imdsv2-required,EC2 IMDSv2 Required,aws,high,cel,cloud_configuration,policies/aws/aws-ec2-imdsv2.yaml
CIS Benchmarks,4.4,CIS Benchmarks 4.4,CIS Benchmarks 4 Compute Hardening,gcp-compute-metadata-v1,GCP Instance Metadata v1 Enabled,gcp,high,cel,cloud_configuration,policies/gcp/gcp-compute-metadata-v1.yaml
CIS Benchmarks,4.8,CIS Benchmarks 4.8,CIS Benchmarks 4 Compute Hardening,gcp-compute-shielded-vm,GCP Compute Shielded VM,gcp,medium,cel,cloud_configuration,policies/gcp/gcp-compute-shielded-vm.yaml
CIS Benchmarks,5.1.1,CIS Benchmarks 5.1.1,CIS Benchmarks 5 Kubernetes Access Control,azure-aks-rbac-enabled,Azure AKS RBAC Enabled,azure,high,cel,cloud_configuration,policies/azure/azure-aks-rbac.yaml
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,endpoint-intune-noncompliant,Intune Devices Not Compliant,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-intune-noncompliant.yaml
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,endpoint-kandji-password-manager,Kandji Devices Missing Password Manager,endpoint,medium,query,endpoint_posture,policies/endpoint/endpoint-kandji-password-manager.yaml
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,endpoint-malware-detection,Malware Detection on Endpoints,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-malware-detection.yaml
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,endpoint-mdm-enrolled,Endpoints Enrolled in MDM,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-mdm-enrolled.yaml
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,endpoint-password-manager,Password Manager Installed on Endpoints,endpoint,medium,query,endpoint_posture,policies/endpoint/endpoint-password-manager.yaml
CIS Controls v8,1,CIS Controls v8 1,CIS Controls v8 1 Inventory and Control of Enterprise Assets,endpoint-sentinelone-active,SentinelOne Agents Actively Reporting,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-sentinelone-active.yaml
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,endpoint-intune-noncompliant,Intune Devices Not Compliant,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-intune-noncompliant.yaml
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,endpoint-kandji-password-manager,Kandji Devices Missing Password Manager,endpoint,medium,query,endpoint_posture,policies/endpoint/endpoint-kandji-password-manager.yaml
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,endpoint-malware-detection,Malware Detection on Endpoints,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-malware-detection.yaml
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,endpoint-mdm-enrolled,Endpoints Enrolled in MDM,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-mdm-enrolled.yaml
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,endpoint-password-manager,Password Manager Installed on Endpoints,endpoint,medium,query,endpoint_posture,policies/endpoint/endpoint-password-manager.yaml
CIS Controls v8,10,CIS Controls v8 10,CIS Controls v8 10 Malware Defenses,endpoint-sentinelone-active,SentinelOne Agents Actively Reporting,endpoint,high,query,endpoint_posture,policies/endpoint/endpoint-sentinelone-active.yaml
